	locus_tag
256	MtrunA17_Chr1g0146191
257	MtrunA17_Chr1g0146201
258	MtrunA17_Chr1g0146211
259	MtrunA17_Chr1g0146221
260	MtrunA17_Chr1g0146231
261	MtrunA17_Chr1g0146241
262	MtrunA17_Chr1g0146251
263	MtrunA17_Chr1g0146271
264	MtrunA17_Chr1g0146281
265	MtrunA17_Chr1g0146291
266	MtrunA17_Chr1g0146301
267	MtrunA17_Chr1g0146311
268	MtrunA17_Chr1g0146321
269	MtrunA17_Chr1g0146331
270	MtrunA17_Chr1g0146341
271	MtrunA17_Chr1g0146351
272	MtrunA17_Chr1g0146361
273	MtrunA17_Chr1g0146371
274	MtrunA17_Chr1g0146381
275	MtrunA17_Chr1g0146391
276	MtrunA17_Chr1g0146401
277	MtrunA17_Chr1g0146411
278	MtrunA17_Chr1g0146421
279	MtrunA17_Chr1g0146431
280	MtrunA17_Chr1g0146441
281	MtrunA17_Chr1g0146451
282	MtrunA17_Chr1g0146461
283	MtrunA17_Chr1g0146471
284	MtrunA17_Chr1g0146481
285	MtrunA17_Chr1g0146491
286	MtrunA17_Chr1g0146501
287	MtrunA17_Chr1g0146521
288	MtrunA17_Chr1g0146531
289	MtrunA17_Chr1g0146541
290	MtrunA17_Chr1g0146551
291	MtrunA17_Chr1g0146561
292	MtrunA17_Chr1g0146581
293	MtrunA17_Chr1g0146591
294	MtrunA17_Chr1g0146601
295	MtrunA17_Chr1g0146611
296	MtrunA17_Chr1g0146621
297	MtrunA17_Chr1g0146631
298	MtrunA17_Chr1g0146641
299	MtrunA17_Chr1g0146651
300	MtrunA17_Chr1g0146661
301	MtrunA17_Chr1g0146671
302	MtrunA17_Chr1g0146681
303	MtrunA17_Chr1g0146691
304	MtrunA17_Chr1g0146701
305	MtrunA17_Chr1g0146721
306	MtrunA17_Chr1g0146731
307	MtrunA17_Chr1g0146741
308	MtrunA17_Chr1g0146751
309	MtrunA17_Chr1g0146761
310	MtrunA17_Chr1g0146771
311	MtrunA17_Chr1g0146781
312	MtrunA17_Chr1g0146801
313	MtrunA17_Chr1g0146811
314	MtrunA17_Chr1g0146821
315	MtrunA17_Chr1g0146831
316	MtrunA17_Chr1g0146851
317	MtrunA17_Chr1g0146861
318	MtrunA17_Chr1g0146881
319	MtrunA17_Chr1g0146901
320	MtrunA17_Chr1g0146911
321	MtrunA17_Chr1g0146921
